class	type/scale	name	relevance	text	help	language	validation	mandatory	other	default	same_default	allowed_filetypes	alphasort	answer_width	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_title	code_filter	commented_checkbox	commented_checkbox_auto	date_format	date_max	date_min	display_columns	display_rows	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_default	slider_layout	slider_max	slider_middlestart	slider_min	slider_rating	slider_reset	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	thousands_separator	use_dropdown
S		sid		366397																																																																																																																												
S		owner_id		1																																																																																																																												
S		admin		Administrator																																																																																																																												
S		active		N																																																																																																																												
S		adminemail		me@gregordimi.com																																																																																																																												
S		anonymized		N																																																																																																																												
S		format		G																																																																																																																												
S		savetimings		N																																																																																																																												
S		template		tfr_responsive-master_USETHISONE																																																																																																																												
S		language		en																																																																																																																												
S		datestamp		N																																																																																																																												
S		usecookie		N																																																																																																																												
S		allowregister		N																																																																																																																												
S		allowsave		Y																																																																																																																												
S		autonumber_start		0																																																																																																																												
S		autoredirect		N																																																																																																																												
S		allowprev		N																																																																																																																												
S		printanswers		N																																																																																																																												
S		ipaddr		N																																																																																																																												
S		refurl		N																																																																																																																												
S		datecreated		2016-12-06																																																																																																																												
S		publicstatistics		N																																																																																																																												
S		publicgraphs		N																																																																																																																												
S		listpublic		N																																																																																																																												
S		htmlemail		N																																																																																																																												
S		sendconfirmation		Y																																																																																																																												
S		tokenanswerspersistence		N																																																																																																																												
S		assessments		N																																																																																																																												
S		usecaptcha		N																																																																																																																												
S		usetokens		N																																																																																																																												
S		bounce_email		me@gregordimi.com																																																																																																																												
S		tokenlength		15																																																																																																																												
S		showxquestions		Y																																																																																																																												
S		showgroupinfo		B																																																																																																																												
S		shownoanswer		Y																																																																																																																												
S		showqnumcode		X																																																																																																																												
S		bounceprocessing		N																																																																																																																												
S		showwelcome		Y																																																																																																																												
S		showprogress		Y																																																																																																																												
S		questionindex		0																																																																																																																												
S		navigationdelay		0																																																																																																																												
S		nokeyboard		N																																																																																																																												
S		alloweditaftercompletion		N																																																																																																																												
S		googleanalyticsstyle		0																																																																																																																												
SL		surveyls_title		BTS_Privacy		en																																																																																																																										
SL		surveyls_description		Description		en																																																																																																																										
SL		surveyls_welcometext		Welcome message		en																																																																																																																										
SL		surveyls_endtext		End message		en																																																																																																																										
SL		surveyls_email_invite_subj		Invitation to participate in a survey		en																																																																																																																										
SL		surveyls_email_invite		Dear {FIRSTNAME},  you have been invited to participate in a survey.  The survey is titled: "{SURVEYNAME}"  "{SURVEYDESCRIPTION}"  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}  If you are blacklisted but want to participate in this survey and want to receive invitations please click the following link: {OPTINURL}		en																																																																																																																										
SL		surveyls_email_remind_subj		Reminder to participate in a survey		en																																																																																																																										
SL		surveyls_email_remind		Dear {FIRSTNAME},  Recently we invited you to participate in a survey.  We note that you have not yet completed the survey, and wish to remind you that the survey is still available should you wish to take part.  The survey is titled: "{SURVEYNAME}"  "{SURVEYDESCRIPTION}"  To participate, please click on the link below.  Sincerely,  {ADMINNAME} ({ADMINEMAIL})  ---------------------------------------------- Click here to do the survey: {SURVEYURL}  If you do not want to participate in this survey and don't want to receive any more invitations please click the following link: {OPTOUTURL}		en																																																																																																																										
SL		surveyls_email_register_subj		Survey registration confirmation		en																																																																																																																										
SL		surveyls_email_register		Dear {FIRSTNAME},  You, or someone using your email address, have registered to participate in an online survey titled {SURVEYNAME}.  To complete this survey, click on the following URL:  {SURVEYURL}  If you have any questions about this survey, or if you did not register to participate and believe this email is in error, please contact {ADMINNAME} at {ADMINEMAIL}.		en																																																																																																																										
SL		surveyls_email_confirm_subj		Confirmation of your participation in our survey		en																																																																																																																										
SL		surveyls_email_confirm		Dear {FIRSTNAME},  this email is to confirm that you have completed the survey titled {SURVEYNAME} and your response has been saved. Thank you for participating.  If you have any further questions about this email, please contact {ADMINNAME} on {ADMINEMAIL}.  Sincerely,  {ADMINNAME}		en																																																																																																																										
SL		surveyls_dateformat		9		en																																																																																																																										
SL		email_admin_notification_subj		Response submission for survey {SURVEYNAME}		en																																																																																																																										
SL		email_admin_notification		Hello,  A new response was submitted for your survey '{SURVEYNAME}'.  Click the following link to reload the survey: {RELOADURL}  Click the following link to see the individual response: {VIEWRESPONSEURL}  Click the following link to edit the individual response: {EDITRESPONSEURL}  View statistics by clicking here: {STATISTICSURL}		en																																																																																																																										
SL		email_admin_responses_subj		Response submission for survey {SURVEYNAME} with results		en																																																																																																																										
SL		email_admin_responses		Hello,  A new response was submitted for your survey '{SURVEYNAME}'.  Click the following link to reload the survey: {RELOADURL}  Click the following link to see the individual response: {VIEWRESPONSEURL}  Click the following link to edit the individual response: {EDITRESPONSEURL}  View statistics by clicking here: {STATISTICSURL}   The following answers were given by the participant: {ANSWERTABLE}		en																																																																																																																										
SL		surveyls_numberformat		0		en																																																																																																																										
G	G0	BTS_Conjoint	1			en																																																																																																																										
Q	L	CBC1	1	If those were your only two optoions which one you would chose?		en		Y	N		1																2																																																																															1					1																	
A	0	1		<div id='attr' class='att1'>Mobile</div><div id='attr' class='att2'>Internet usage/Apps usage/Location</div><div id='attr' class='att3'>10 E</div>		en																																																																																																																										
A	0	2		<div id='attr' class='att1'>Desktop</div><div id='attr' class='att2'>Internet usage/Apps usage</div><div id='attr' class='att3'>8 E</div>		en																																																																																																																										
Q	F	BTS1	1	What percentage of the population do you think it will make the same choice as you?		en		Y	N		1																																																																																															1																						
SQ	0	1	1	&nbsp;		en																																																																																																																										
A	0	1		0% - 10%		en																																																																																																																										
A	0	2		11% - 20%		en																																																																																																																										
A	0	3		21% - 30%		en																																																																																																																										
A	0	4		31% - 40%		en																																																																																																																										
A	0	5		41% - 50%		en																																																																																																																										
A	0	6		51% - 60%		en																																																																																																																										
A	0	7		61% - 70%		en																																																																																																																										
A	0	8		71% - 80%		en																																																																																																																										
A	0	9		81% - 90%		en																																																																																																																										
A	0	10		91% - 100%		en																																																																																																																										
